# Time  F_D  F_L p_front p_back
2.2550000000e+00 -1.2396476998e-02 4.8213108072e-02 2.4612412656e-03 1.6430421919e-02
2.2625000000e+00 1.3002820214e-02 -4.8291483513e-02 -2.1223996063e-03 -1.7451933077e-02
2.2700000000e+00 -1.2300772955e-02 4.7040238010e-02 8.0009641614e-04 1.5003603590e-02
2.2775000000e+00 1.2982551270e-02 -4.6649335650e-02 9.6010426261e-04 -1.4860866843e-02
2.2850000000e+00 -1.2242776475e-02 4.5385203916e-02 -3.8677583445e-03 1.0959445334e-02
2.2925000000e+00 1.2886078312e-02 -4.5598916058e-02 6.8041439517e-03 -9.5142659865e-03
2.3000000000e+00 -1.2068335718e-02 4.5117403855e-02 -1.0179703252e-02 5.0636216514e-03
2.3075000000e+00 1.2700285404e-02 -4.5939303393e-02 1.2836535722e-02 -3.5399283871e-03
2.3150000000e+00 -1.1933396444e-02 4.5574366878e-02 -1.5773328506e-02 -4.5215941104e-04
2.3225000000e+00 1.2578140838e-02 -4.5963748406e-02 1.6890679208e-02 6.8638726111e-04
2.3300000000e+00 -1.1763792599e-02 4.5938448468e-02 -1.6939351766e-02 -2.0680258255e-03
2.3375000000e+00 1.2358014540e-02 -4.6366016371e-02 1.6075704614e-02 5.9966129817e-04
2.3450000000e+00 -1.1694939282e-02 4.6062187481e-02 -1.6849317319e-02 -2.2698691587e-03
2.3525000000e+00 1.2286189917e-02 -4.5374383784e-02 1.6313663318e-02 8.2258062233e-04
2.3600000000e+00 -1.1608490651e-02 4.4353932730e-02 -1.7652795879e-02 -2.8156200479e-03
2.3675000000e+00 1.2132722459e-02 -4.3771230458e-02 1.8039226575e-02 2.2491343643e-03
2.3750000000e+00 -1.1478458535e-02 4.3391179704e-02 -2.0927055972e-02 -5.6762899883e-03
2.3825000000e+00 1.1971338590e-02 -4.3255298639e-02 2.4631493118e-02 8.1788618386e-03
2.3900000000e+00 -1.1358054868e-02 4.2717309391e-02 -2.9583379394e-02 -1.3424342131e-02
2.3975000000e+00 1.1835246406e-02 -4.2803125969e-02 3.4188807670e-02 1.6836054153e-02
2.4050000000e+00 -1.1224353349e-02 4.2877222406e-02 -3.6588380606e-02 -1.9973669875e-02
2.4125000000e+00 1.1674521826e-02 -4.3252833920e-02 4.0203435374e-02 2.2595901302e-02
2.4200000000e+00 -1.1096142507e-02 4.2867221619e-02 -4.0814272020e-02 -2.4100915508e-02
2.4275000000e+00 1.1536889414e-02 -4.2287970296e-02 4.4188972422e-02 2.6329680366e-02
2.4350000000e+00 -1.0992485138e-02 4.1416862407e-02 -4.4186282325e-02 -2.7211658378e-02
2.4425000000e+00 1.1412202772e-02 -4.0859488731e-02 4.7142369670e-02 2.8989585357e-02
2.4500000000e+00 -1.0827825868e-02 4.0357392613e-02 -4.5226380454e-02 -2.8330493539e-02
2.4575000000e+00 1.1233034958e-02 -3.9991442765e-02 4.7793194219e-02 2.9727943092e-02
2.4650000000e+00 -1.0700286884e-02 3.9539815041e-02 -4.5535154941e-02 -2.8820103599e-02
2.4725000000e+00 1.1145674426e-02 -3.9576015122e-02 4.8422024992e-02 3.0456413957e-02
2.4800000000e+00 -1.0594977241e-02 3.9674624966e-02 -4.5135681458e-02 -2.8791290145e-02
2.4875000000e+00 1.1021558425e-02 -4.0200091970e-02 4.8134281023e-02 3.0561716530e-02
2.4950000000e+00 -1.0461765484e-02 4.0400819834e-02 -4.3626313436e-02 -2.7878216082e-02
2.5025000000e+00 1.0913900353e-02 -4.0744222586e-02 4.5977144386e-02 2.8983436526e-02
2.5100000000e+00 -1.0393423152e-02 4.0519457958e-02 -4.0950350840e-02 -2.5715331872e-02
2.5175000000e+00 1.0848874495e-02 -4.0169674144e-02 4.4014353270e-02 2.7266606417e-02
2.5250000000e+00 -1.0320633715e-02 3.9231498702e-02 -4.0459524629e-02 -2.5195392312e-02
2.5325000000e+00 1.0766714866e-02 -3.8291238343e-02 4.5524088373e-02 2.8403431932e-02
2.5400000000e+00 -1.0257352215e-02 3.7320357901e-02 -4.4051654017e-02 -2.8172162701e-02
2.5475000000e+00 1.0696467827e-02 -3.6830851123e-02 5.0030426629e-02 3.2222325106e-02
2.5550000000e+00 -1.0173521341e-02 3.6534899508e-02 -4.8845376945e-02 -3.2424356792e-02
2.5625000000e+00 1.0590083778e-02 -3.6577322934e-02 5.4553750072e-02 3.6321324241e-02
2.5700000000e+00 -1.0039908367e-02 3.6500768389e-02 -5.2410053635e-02 -3.5834626308e-02
2.5775000000e+00 1.0442178975e-02 -3.6568400872e-02 5.6477661503e-02 3.8286156966e-02
2.5850000000e+00 -9.9043881465e-03 3.6467651018e-02 -5.1426669476e-02 -3.5318586309e-02
2.5925000000e+00 1.0324249233e-02 -3.6601428647e-02 5.2466874499e-02 3.5013804451e-02
2.6000000000e+00 -9.7984895288e-03 3.6520516564e-02 -4.4831718857e-02 -2.9798160753e-02
2.6075000000e+00 1.0224500827e-02 -3.6342221914e-02 4.5320580876e-02 2.8820146249e-02
2.6150000000e+00 -9.7135239760e-03 3.5809642082e-02 -3.8359348646e-02 -2.4168495181e-02
2.6225000000e+00 1.0133070984e-02 -3.5318359026e-02 4.0577223938e-02 2.4532207342e-02
